run_name,los_scheme,true_bin,true_bin_label,pred_bin,pred_bin_label,count,split,source,row_pct
struct_top6_l001,coarse6,2,8-14,4,22-28,1742,test,joint_prediction_csv,0.09063004006035066
struct_top6_l001,coarse6,2,8-14,5,29-37,8348,test,joint_prediction_csv,0.4343166328494875
struct_top6_l001,coarse6,3,15-21,0,1,1738,test,joint_prediction_csv,0.12445399212316506
struct_top6_l001,coarse6,3,15-21,1,2-7,1528,test,joint_prediction_csv,0.10941639813820266
struct_top6_l001,coarse6,3,15-21,2,8-14,773,test,joint_prediction_csv,0.05535266738274257
struct_top6_l001,coarse6,3,15-21,3,15-21,104,test,joint_prediction_csv,0.00744718940207662
struct_top6_l001,coarse6,3,15-21,4,22-28,1874,test,joint_prediction_csv,0.13419262441818833
struct_top6_l001,coarse6,3,15-21,5,29-37,7948,test,joint_prediction_csv,0.5691371285356248
struct_top6_l001,coarse6,4,22-28,0,1,1598,test,joint_prediction_csv,0.09828402730795252
struct_top6_l001,coarse6,4,22-28,1,2-7,1173,test,joint_prediction_csv,0.07214465834307153
struct_top6_l001,coarse6,4,22-28,2,8-14,599,test,joint_prediction_csv,0.03684113414109109
struct_top6_l001,coarse6,4,22-28,3,15-21,24,test,joint_prediction_csv,0.0014761055415462205
struct_top6_l001,coarse6,4,22-28,4,22-28,4113,test,joint_prediction_csv,0.2529675871824835
struct_top6_l001,coarse6,4,22-28,5,29-37,8752,test,joint_prediction_csv,0.5382864874838551
struct_top6_l001,coarse6,5,29-37,0,1,11138,test,joint_prediction_csv,0.08416645885757898
struct_top6_l001,coarse6,5,29-37,1,2-7,2070,test,joint_prediction_csv,0.01564235678175512
struct_top6_l001,coarse6,5,29-37,2,8-14,220,test,joint_prediction_csv,0.001662472701442573
struct_top6_l001,coarse6,5,29-37,3,15-21,25,test,joint_prediction_csv,0.000188917352436656
struct_top6_l001,coarse6,5,29-37,4,22-28,1581,test,joint_prediction_csv,0.011947133368094127
struct_top6_l001,coarse6,5,29-37,5,29-37,117299,test,joint_prediction_csv,0.8863926609386925
